Epoch: 0 / 25 | halfcheetah-medium-expert-v2 | random_name
[ utils/training ] Making optimizer at epoch 0
[ utils/training ] epoch 0 [    0 / 3903 ]  train reconstruction loss 3.49945 |  train commit loss 0.04359 | | lr 2.000e-04 | lr_mult: 0.0002 | t: 0.21
[ utils/training ] epoch 0 [  100 / 3903 ]  train reconstruction loss 0.98768 |  train commit loss 0.21051 | | lr 2.000e-04 | lr_mult: 0.0239 | t: 14.82
[ utils/training ] epoch 0 [  200 / 3903 ]  train reconstruction loss 0.65338 |  train commit loss 0.23160 | | lr 2.000e-04 | lr_mult: 0.0475 | t: 14.84
[ utils/training ] epoch 0 [  300 / 3903 ]  train reconstruction loss 0.45361 |  train commit loss 0.21706 | | lr 2.000e-04 | lr_mult: 0.0712 | t: 14.76
[ utils/training ] epoch 0 [  400 / 3903 ]  train reconstruction loss 0.36250 |  train commit loss 0.20060 | | lr 2.000e-04 | lr_mult: 0.0949 | t: 14.82
[ utils/training ] epoch 0 [  500 / 3903 ]  train reconstruction loss 0.32111 |  train commit loss 0.19375 | | lr 2.000e-04 | lr_mult: 0.1185 | t: 14.81
[ utils/training ] epoch 0 [  600 / 3903 ]  train reconstruction loss 0.29054 |  train commit loss 0.17637 | | lr 2.000e-04 | lr_mult: 0.1422 | t: 14.83
[ utils/training ] epoch 0 [  700 / 3903 ]  train reconstruction loss 0.27313 |  train commit loss 0.16004 | | lr 2.000e-04 | lr_mult: 0.1658 | t: 14.77
[ utils/training ] epoch 0 [  800 / 3903 ]  train reconstruction loss 0.26330 |  train commit loss 0.14672 | | lr 2.000e-04 | lr_mult: 0.1895 | t: 14.79
[ utils/training ] epoch 0 [  900 / 3903 ]  train reconstruction loss 0.23839 |  train commit loss 0.13634 | | lr 2.000e-04 | lr_mult: 0.2131 | t: 14.82
[ utils/training ] epoch 0 [ 1000 / 3903 ]  train reconstruction loss 0.22749 |  train commit loss 0.13318 | | lr 2.000e-04 | lr_mult: 0.2368 | t: 14.85
[ utils/training ] epoch 0 [ 1100 / 3903 ]  train reconstruction loss 0.21741 |  train commit loss 0.12422 | | lr 2.000e-04 | lr_mult: 0.2604 | t: 14.79
[ utils/training ] epoch 0 [ 1200 / 3903 ]  train reconstruction loss 0.21887 |  train commit loss 0.11827 | | lr 2.000e-04 | lr_mult: 0.2841 | t: 14.88
[ utils/training ] epoch 0 [ 1300 / 3903 ]  train reconstruction loss 0.21135 |  train commit loss 0.12104 | | lr 2.000e-04 | lr_mult: 0.3077 | t: 14.84
[ utils/training ] epoch 0 [ 1400 / 3903 ]  train reconstruction loss 0.21304 |  train commit loss 0.12112 | | lr 2.000e-04 | lr_mult: 0.3314 | t: 14.83
[ utils/training ] epoch 0 [ 1500 / 3903 ]  train reconstruction loss 0.19989 |  train commit loss 0.11763 | | lr 2.000e-04 | lr_mult: 0.3551 | t: 14.82
[ utils/training ] epoch 0 [ 1600 / 3903 ]  train reconstruction loss 0.19757 |  train commit loss 0.11342 | | lr 2.000e-04 | lr_mult: 0.3787 | t: 14.84
[ utils/training ] epoch 0 [ 1700 / 3903 ]  train reconstruction loss 0.19739 |  train commit loss 0.10964 | | lr 2.000e-04 | lr_mult: 0.4024 | t: 14.78
[ utils/training ] epoch 0 [ 1800 / 3903 ]  train reconstruction loss 0.19105 |  train commit loss 0.10763 | | lr 2.000e-04 | lr_mult: 0.4260 | t: 14.84
[ utils/training ] epoch 0 [ 1900 / 3903 ]  train reconstruction loss 0.19551 |  train commit loss 0.11119 | | lr 2.000e-04 | lr_mult: 0.4497 | t: 14.81
[ utils/training ] epoch 0 [ 2000 / 3903 ]  train reconstruction loss 0.18579 |  train commit loss 0.10696 | | lr 2.000e-04 | lr_mult: 0.4733 | t: 14.85
[ utils/training ] epoch 0 [ 2100 / 3903 ]  train reconstruction loss 0.18387 |  train commit loss 0.10376 | | lr 2.000e-04 | lr_mult: 0.4970 | t: 14.78
[ utils/training ] epoch 0 [ 2200 / 3903 ]  train reconstruction loss 0.17977 |  train commit loss 0.10259 | | lr 2.000e-04 | lr_mult: 0.5206 | t: 14.79
[ utils/training ] epoch 0 [ 2300 / 3903 ]  train reconstruction loss 0.18195 |  train commit loss 0.10484 | | lr 2.000e-04 | lr_mult: 0.5443 | t: 14.81
[ utils/training ] epoch 0 [ 2400 / 3903 ]  train reconstruction loss 0.16977 |  train commit loss 0.09871 | | lr 2.000e-04 | lr_mult: 0.5679 | t: 14.81
[ utils/training ] epoch 0 [ 2500 / 3903 ]  train reconstruction loss 0.17642 |  train commit loss 0.09685 | | lr 2.000e-04 | lr_mult: 0.5916 | t: 14.84
[ utils/training ] epoch 0 [ 2600 / 3903 ]  train reconstruction loss 0.17761 |  train commit loss 0.09506 | | lr 2.000e-04 | lr_mult: 0.6153 | t: 14.81
[ utils/training ] epoch 0 [ 2700 / 3903 ]  train reconstruction loss 0.18214 |  train commit loss 0.09606 | | lr 2.000e-04 | lr_mult: 0.6389 | t: 14.87
[ utils/training ] epoch 0 [ 2800 / 3903 ]  train reconstruction loss 0.15970 |  train commit loss 0.09040 | | lr 2.000e-04 | lr_mult: 0.6626 | t: 14.84
[ utils/training ] epoch 0 [ 2900 / 3903 ]  train reconstruction loss 0.16430 |  train commit loss 0.09013 | | lr 2.000e-04 | lr_mult: 0.6862 | t: 14.86
[ utils/training ] epoch 0 [ 3000 / 3903 ]  train reconstruction loss 0.17092 |  train commit loss 0.09383 | | lr 2.000e-04 | lr_mult: 0.7099 | t: 14.81
[ utils/training ] epoch 0 [ 3100 / 3903 ]  train reconstruction loss 0.17084 |  train commit loss 0.09187 | | lr 2.000e-04 | lr_mult: 0.7335 | t: 14.83
[ utils/training ] epoch 0 [ 3200 / 3903 ]  train reconstruction loss 0.16278 |  train commit loss 0.09400 | | lr 2.000e-04 | lr_mult: 0.7572 | t: 14.86
[ utils/training ] epoch 0 [ 3300 / 3903 ]  train reconstruction loss 0.15880 |  train commit loss 0.08685 | | lr 2.000e-04 | lr_mult: 0.7808 | t: 14.89
[ utils/training ] epoch 0 [ 3400 / 3903 ]  train reconstruction loss 0.15526 |  train commit loss 0.08457 | | lr 2.000e-04 | lr_mult: 0.8045 | t: 14.82
